,0,1,2
283,Hubbell Incorporated,HUBB,
284,Humana Inc.,HUM,
285,Huntington Bancshares Incorporated,HBAN,
286,"Huntington Ingalls Industries, Inc.",HII,
287,IDEX Corporation,IEX,
288,"IDEXX Laboratories, Inc.",IDXX,
289,IHS Markit Ltd.,INFO_OLD,Y
290,IPG Photonics Corporation,IPGP,
291,IQVIA Holdings Inc.,IQV,
292,Illinois Tool Works Inc.,ITW,
293,"Illumina, Inc.",ILMN,
294,Incyte Corporation,INCY,
295,Ingersoll Rand Inc.,IR,
296,Insulet Corporation,PODD,
297,Intel Corporation,INTC,
298,"Intercontinental Exchange, Inc.",ICE,
299,International Business Machines Corporation,IBM,
300,International Flavors & Fragrances Inc.,IFF,
301,International Paper Company,IP,
302,Intuit Inc.,INTU,
303,"Intuitive Surgical, Inc.",ISRG,
304,Invesco Ltd.,IVZ,
305,Invitation Homes Inc.,INVH,
306,Iron Mountain Incorporated,IRM,
307,"J.B. Hunt Transport Services, Inc.",JBHT,
308,JPMorgan Chase & Co.,JPM,
309,Jabil Inc.,JBL,
310,"Jack Henry & Associates, Inc.",JKHY,
311,Jacobs Solutions Inc.,J,
312,Johnson & Johnson,JNJ,
313,Johnson Controls International plc,JCI,
314,"Juniper Networks, Inc.",JNPR,
315,KLA Corporation,KLAC,
316,Kansas City Southern,KSU,
317,Kellanova,K,
318,Kenvue Inc.,KVUE,
319,Keurig Dr Pepper Inc.,KDP,
320,KeyCorp,KEY,
321,"Keysight Technologies, Inc.",KEYS,
322,Kimberly-Clark Corporation,KMB,
323,Kimco Realty Corporation,KIM,
324,"Kinder Morgan, Inc.",KMI,
325,Kohl's Corporation,KSS,
326,"L3 Technologies, Inc.",LHX,
327,"L3Harris Technologies, Inc.",LHX,
328,LKQ Corporation,LKQ,
329,Labcorp Holdings Inc.,LH,
330,Lam Research Corporation,LRCX,
331,"Lamb Weston Holdings, Inc.",LW,
332,Las Vegas Sands Corp.,LVS,
333,"Legg Mason, Inc.",LMHA,
334,"Leggett & Platt, Incorporated",LEG,
335,"Leidos Holdings, Inc.",LDOS,
336,Lennar Corporation,LEN,
337,"Level 3 Parent, LLC",LVLT,
338,Lincoln National Corporation,LNC,
339,Linde plc,LIN,
340,Linear Technology Corporation,LLTC,
341,"Live Nation Entertainment, Inc.",LYV,
342,Lockheed Martin Corporation,LMT,
343,Loews Corporation,L,
344,"Lowe's Companies, Inc.",LOW,
345,"Lumen Technologies, Inc.",LUMN,
346,LyondellBasell Industries N.V.,LYB,
347,M&T Bank Corporation,MTB,
348,MGM Resorts International,MGM,
349,MNSN Holdings Inc.,MNSH,
350,MSCI Inc.,MSCI,
351,"Macy's, Inc.",M,
352,Mallinckrodt PLC,MNK,
353,Marathon Oil Corporation,MRO,
354,Marathon Petroleum Corporation,MPC,
355,MarketAxess Holdings Inc.,MKTX,
356,"Marriott International, Inc.",MAR,
357,"Marsh & McLennan Companies, Inc.",MMC,
358,"Martin Marietta Materials, Inc.",MLM,
359,Masco Corporation,MAS,
360,Mastercard Incorporated,MA,
361,"Match Group, Inc.",MTCH,
362,"Mattel, Inc.",MAT,
363,"Maxim Integrated Products, Inc.",MXIM,
364,"McCormick & Company, Incorporated",MKC,
365,McDonald's Corporation,MCD,
366,McKesson Corporation,MCK,
367,Mead Johnson Nutrition Company,MJN,
368,Medtronic plc,MDT,
369,"Merck & Co., Inc.",MRK,
370,"MetLife, Inc.",MET,
371,"Meta Platforms, Inc.",META,
372,Mettler-Toledo International Inc.,MTD,
373,Microchip Technology Incorporated,MCHP,
374,"Micron Technology, Inc.",MU,
375,Microsoft Corporation,MSFT,
376,"Mid-America Apartment Communities, Inc.",MAA,
377,"Moderna, Inc.",MRNA,
378,"Mohawk Industries, Inc.",MHK,
379,"Molina Healthcare, Inc.",MOH,
380,Molson Coors Beverage Company,TAP,
381,"Mondelez International, Inc.",MDLZ,
382,"Monolithic Power Systems, Inc.",MPWR,
383,Monsanto Company,MON,
384,Monster Beverage Corporation,MNST,
385,Moody's Corporation,MCO,
386,Morgan Stanley,MS,
387,"Motorola Solutions, Inc.",MSI,
388,Murphy Oil Corporation,MUR,
389,"NIKE, Inc.",NKE,
390,NOV Inc.,NOV,
391,"NRG Energy, Inc.",NRG,
392,NVIDIA Corporation,NVDA,
393,NXP Semiconductors N.V.,NXPI,
394,"Nasdaq, Inc.",NDAQ,
395,Navient Corporation,NAVI,
396,"NetApp, Inc.",NTAP,
397,"Netflix, Inc.",NFLX,
398,Newell Brands Inc.,NWL,
399,Newmont Corporation,NEM,
400,News Corporation,NWS,
401,"NextEra Energy, Inc.",NEE,
402,NiSource Inc.,NI,
